model,quantity
75944,{'stock': 'LARGE QUANTITY'}
75951,{'stock': 'LARGE QUANTITY'}
76010,{'stock': 'LARGE QUANTITY'}
76190,{'stock': 'LARGE QUANTITY'}
76640,{'stock': 'LARGE QUANTITY'}
75980,{'stock': 'OUT OF STOCK'}
75981,{'stock': 'OUT OF STOCK'}
76320,{'stock': 'OUT OF STOCK'}
76806,{'stock': 'LARGE QUANTITY'}
76810,{'stock': 'LARGE QUANTITY'}
76811,{'stock': 'SMALL QUANTITY'}
76819,{'stock': 'LARGE QUANTITY'}
76751,{'stock': 'LARGE QUANTITY'}
76766,{'stock': 'SMALL QUANTITY'}
76857,{'stock': 'OUT OF STOCK'}
77005,{'stock': 'LARGE QUANTITY'}
77213,{'stock': 'LARGE QUANTITY'}
77350,{'stock': 'MEDIUM QUANTITY'}
77400,{'stock': 'LARGE QUANTITY'}
76855,{'stock': 'MEDIUM QUANTITY'}
78000,{'stock': 'LARGE QUANTITY'}
78002,{'stock': 'LARGE QUANTITY'}
78041,{'stock': 'LARGE QUANTITY'}
78050,{'stock': 'OUT OF STOCK'}
78067,{'stock': 'LARGE QUANTITY'}
78082,{'stock': 'LARGE QUANTITY'}
78108,{'stock': 'OUT OF STOCK'}
78139,{'stock': 'OUT OF STOCK'}
78184,{'stock': 'OUT OF STOCK'}
78180,{'stock': 'SMALL QUANTITY'}
78306,{'stock': 'MEDIUM QUANTITY'}
78465,{'stock': 'OUT OF STOCK'}
78471,{'stock': 'OUT OF STOCK'}
78486,{'stock': 'OUT OF STOCK'}
78525,{'stock': 'LARGE QUANTITY'}
78575,{'stock': 'LARGE QUANTITY'}
78466,{'stock': 'OUT OF STOCK'}
78556,{'stock': 'LARGE QUANTITY'}
78585,{'stock': 'LARGE QUANTITY'}
78629,{'stock': 'OUT OF STOCK'}
78670,{'stock': 'MEDIUM QUANTITY'}
78734,{'stock': 'OUT OF STOCK'}
78790,{'stock': 'OUT OF STOCK'}
78802,{'stock': 'LARGE QUANTITY'}
78811,{'stock': 'LARGE QUANTITY'}
78825,{'stock': 'LARGE QUANTITY'}
78826,{'stock': 'OUT OF STOCK'}
78814,{'stock': 'LARGE QUANTITY'}
78910,{'stock': 'LARGE QUANTITY'}
78972,{'stock': 'LARGE QUANTITY'}
78987,{'stock': 'LARGE QUANTITY'}
79123,{'stock': 'OUT OF STOCK'}
79354,{'stock': 'LARGE QUANTITY'}
79364,{'stock': 'OUT OF STOCK'}
79368,{'stock': 'LARGE QUANTITY'}
79376,{'stock': 'OUT OF STOCK'}
79380,{'stock': 'OUT OF STOCK'}
79393,{'stock': 'OUT OF STOCK'}
79444,{'stock': 'OUT OF STOCK'}
79491,{'stock': 'LARGE QUANTITY'}
79552,{'stock': 'LARGE QUANTITY'}
79366,{'stock': 'LARGE QUANTITY'}
79561,{'stock': 'LARGE QUANTITY'}
79562,{'stock': 'LARGE QUANTITY'}
79662,{'stock': 'OUT OF STOCK'}
79782,{'stock': 'MEDIUM QUANTITY'}
79800,{'stock': 'LARGE QUANTITY'}
79835,{'stock': 'OUT OF STOCK'}
79924,{'stock': 'LARGE QUANTITY'}
79928,{'stock': 'LARGE QUANTITY'}
79929,{'stock': 'LARGE QUANTITY'}
79943,{'stock': 'LARGE QUANTITY'}
79983,{'stock': 'LARGE QUANTITY'}
80042,{'stock': 'LARGE QUANTITY'}
80093,{'stock': 'LARGE QUANTITY'}
80121,{'stock': 'OUT OF STOCK'}
80092,{'stock': 'LARGE QUANTITY'}
80520,{'stock': 'LARGE QUANTITY'}
80530,{'stock': 'OUT OF STOCK'}
80600,{'stock': 'OUT OF STOCK'}
80640,{'stock': 'LARGE QUANTITY'}
80751,{'stock': 'LARGE QUANTITY'}
81100,{'stock': 'OUT OF STOCK'}
81399,{'stock': 'OUT OF STOCK'}
80701,{'stock': 'OUT OF STOCK'}
81080,{'stock': 'OUT OF STOCK'}
81119,{'stock': 'MEDIUM QUANTITY'}
81118,{'stock': 'LARGE QUANTITY'}
81441,{'stock': 'MEDIUM QUANTITY'}
81492,{'stock': 'LARGE QUANTITY'}
81522,{'stock': 'MEDIUM QUANTITY'}
81525,{'stock': 'OUT OF STOCK'}
81633,{'stock': 'LARGE QUANTITY'}
81650,{'stock': 'LARGE QUANTITY'}
81653,{'stock': 'LARGE QUANTITY'}
81713,{'stock': 'OUT OF STOCK'}
81731,{'stock': 'LARGE QUANTITY'}
81785,{'stock': 'LARGE QUANTITY'}
81827,{'stock': 'OUT OF STOCK'}
