model,quantity
YT-80933,100
YT-80904,0
YT-80906,0
YT-80940,100
YT-80952,0
YT-80956,100
YT-80958,100
YT-81022,0
YT-8108,100
YT-8112,0
YT-81000,100
YT-81052,20
YT-81272,100
YT-81355,0
YT-81358,20
YT-81441,100
YT-81789,0
YT-81797,0
YT-81810,0
YT-818161,100
YT-81820,100
YT-81822,0
YT-818241,0
YT-81856,0
YT-81953,20
YT-81980,100
YT-82002,20
YT-82025,100
YT-820302,100
YT-82044,100
YT-820833,100
YT-821916,100
YT-82194,100
YT-82195,0
YT-82198,100
YT-82208,100
YT-82230,100
YT-82297,100
YT-82303,100
YT-81957,100
YT-82130,0
YT-821722,0
YT-82330,100
YT-82336,100
YT-82350,20
YT-82353,100
YT-82356,100
YT-82398,20
YT-82401,100
YT-824480,0
YT-82457,100
YT-82460,20
YT-82461,100
YT-82463,100
YT-82490,100
YT-82496,100
YT-82550,100
YT-82755,0
YT-82765,100
YT-827723,0
YT-827790,100
YT-82788,0
YT-82808,0
YT-82814,100
YT-828152,0
YT-82542,100
YT-82824,100
YT-828251,100
YT-828296,100
YT-828331,0
YT-82834,100
YT-828380,100
YT-828381,100
YT-828383,100
YT-828391,100
YT-82833,100
YT-82857,0
YT-82877,0
YT-82888,100
YT-829383,0
YT-829600,0
YT-82966,100
YT-829672,20
YT-829690,100
YT-829693,100
YT-82981,100
YT-82994,100
YT-8311,100
YT-83227,100
YT-83275,100
YT-83291,100
YT-833007,0
YT-83363,100
YT-83052,0
YT-83354,100
YT-83372,100
YT-83365,100
YT-82880,0
YT-82956,20
YT-83440,0
YT-83456,100
YT-834581,0
YT-834582,100
YT-834588,20
YT-834596,20
YT-83472,100
YT-83474,100
YT-83484,0
YT-83487,100
YT-8357,0
YT-8370,0
YT-8373,0
YT-83802,100
YT-8441,0
YT-8445,0
YT-8447,0
YT-8450,0
YT-8455,0
YT-845803,20
YT-84601,0
YT-84611,20
YT-8413,100
YT-84606,100
YT-84610,100
YT-84615,0
YT-84616,100
YT-84800,20
YT-84850,100
YT-84871,20
YT-84901,20
YT-84925,100
YT-84929,100
YT-849311,100
YT-849332,100
YT-849333,20
YT-84949,100
YT-84932,0
YT-84971,100
YT-85004,100
YT-85020,20
YT-85037,100
YT-85066,100
YT-85142,20
YT-85150,100
YT-85176,100
YT-852081,100
YT-85223,20
YT-85301,100
YT-85364,0
YT-85392,100
YT-85403,0
YT-84978,100
YT-85044,0
YT-85234,100
YT-85460,0
YT-854837,0
YT-85485,0
YT-85532,0
YT-855477,100
YT-855482,100
YT-855484,100
YT-855491,100
YT-855493,100
YT-85550,20
YT-85580,0
YT-85592,0
YT-85605,0
YT-85682,100
YT-85687,0
YT-85701,20
YT-85735,100
YT-85739,20
YT-85830,0
YT-85930,0
YT-86097,100
YT-86115,0
YT-86150,20
YT-86158,0
YT-861930,20
YT-861943,20
YT-861963,20
